Ticket Id;Tipo Nota;Persona;Fecha Comentario;Type;Status;Severity
61118;DSMC-Analysis_Diagnosis;jmolina;2016-01-01 01:55:46;Claim;Closed;Minor
61118;DSMC-Analysis_Diagnosis;jmolina;2016-01-01 02:02:47;Claim;Closed;Minor
61118;DSMC-Analysis_Diagnosis;jmolina;2016-01-01 02:03:27;Claim;Closed;Minor
61118;DSMC-Analysis_Diagnosis;jmolina;2016-01-01 22:55:49;Claim;Closed;Minor
61118;DSMC-Analysis_Diagnosis;tsantos;2016-01-03 14:39:35;Claim;Closed;Minor
61118;update;ialonso;2016-01-04 15:47:12;Claim;Closed;Minor
61118;update;ialonso;2016-01-04 15:49:13;Claim;Closed;Minor
61118;update;ialonso;2016-01-04 15:59:47;Claim;Closed;Minor
61118;DSMC-Solved;ialonso;2016-01-04 16:01:13;Claim;Closed;Minor
61142;24x7_note;bnunez;2016-01-02 07:24:38;Claim;Closed;Minor
61142;SERVICEMANAGER_NOTE;guillermo.cajigas;2016-01-04 11:08:18;Claim;Closed;Minor
61142;ACTUALIZACION;jose.perez;2016-01-05 13:08:48;Claim;Closed;Minor
61142;M2M;jose.perez;2016-01-13 13:58:06;Claim;Closed;Minor
61142;M2M;jose.perez;2016-03-02 12:05:34;Claim;Closed;Minor
61142;M2M;jose.perez;2016-03-07 08:28:25;Claim;Closed;Minor
61184;DSMC-Analysis_Diagnosis;tsantos;2016-01-03 17:22:15;Claim;Closed;Minor
61184;DSMC-Analysis_Diagnosis;tsantos;2016-01-03 17:23:50;Claim;Closed;Minor
61184;DSMC-Analysis_Diagnosis;tsantos;2016-01-03 17:25:11;Claim;Closed;Minor
61184;DSMC-Analysis_Diagnosis;tsantos;2016-01-03 17:25:39;Claim;Closed;Minor
61185;DSMC-Analysis_Diagnosis;tsantos;2016-01-03 18:02:39;Claim;Closed;Minor
61185;DSMC-Analysis_Diagnosis;tsantos;2016-01-03 18:03:32;Claim;Closed;Minor
61185;DSMC-Analysis_Diagnosis;tsantos;2016-01-03 18:06:10;Claim;Closed;Minor
